seed,f1_normal,f1_independent_low,f1_independent_high,f1_correlated_low,f1_correlated_high
0,0.6659242761692651,0.0,0.0,0.0,0.0
1,0.6659255141745414,0.0,0.0,0.0,0.0
2,0.6666666666666666,0.0,0.0,0.0,0.0
3,0.6659255141745414,0.0,0.0,0.0,0.0
4,0.6670372429127293,0.0,0.0,0.0,0.0
42,0.6666666666666666,0.0,0.0,0.0,0.0
123,0.6670372429127293,0.0,0.0,0.0,0.0
999,0.6666666666666666,0.0,0.0,0.0,0.0
