seed,binary_f1_normal,binary_f1_attack,multiclass_f1_normal,multiclass_f1_simple,multiclass_f1_stealthy,multiclass_recall_simple,multiclass_recall_stealthy,stealthy_minus_simple_f1
0,0.9754098360655737,0.9615384615384616,0.9676898222940227,0.875,0.9847715736040609,0.805,0.97,0.10977157360406087
1,0.9785123966942149,0.9670886075949368,0.9591018444266239,0.8403361344537815,0.9848484848484849,0.75,0.975,0.14451235039470334
2,0.9760132340777502,0.9633375474083439,0.9755301794453507,0.9124668435013262,0.9924433249370277,0.86,0.985,0.07997648143570146
3,0.9794238683127572,0.9681528662420382,0.9779591836734693,0.9071618037135278,0.9798994974874372,0.855,0.975,0.07273769377390937
4,0.9754098360655737,0.9615384615384616,0.9684721099434115,0.8804347826086957,0.9873417721518988,0.81,0.975,0.1069069895432031
42,0.9711934156378601,0.9554140127388535,0.9506369426751592,0.8011363636363636,0.9795918367346939,0.705,0.96,0.1784554730983302
123,0.9673202614379085,0.9484536082474226,0.966908797417272,0.8808864265927978,0.995,0.795,0.995,0.11411357340720218
999,0.9704433497536946,0.9539641943734015,0.9700404858299595,0.8961748633879781,0.9974937343358395,0.82,0.995,0.1013188709478614
