seed,binary_f1_normal,binary_f1_attack,multiclass_f1_normal,multiclass_f1_simple,multiclass_f1_stealthy,multiclass_recall_simple,multiclass_recall_stealthy,stealthy_minus_simple_f1
0,0.8654602675059009,0.7654320987654321,0.882664647993944,0.3359375,0.8699763593380615,0.215,0.92,0.5340388593380615
1,0.8796147672552167,0.8010610079575596,0.8754716981132076,0.30115830115830117,0.8894230769230769,0.195,0.925,0.5882647757647756
2,0.8652931854199684,0.7696476964769647,0.8726450640542577,0.26877470355731226,0.8952380952380953,0.17,0.94,0.626463391680783
3,0.8892405063291139,0.8097826086956522,0.8812785388127854,0.30115830115830117,0.8711943793911007,0.195,0.93,0.5700360782327996
4,0.8623417721518988,0.7635869565217391,0.8851963746223565,0.2988505747126437,0.8867469879518072,0.195,0.92,0.5878964132391635
42,0.8779342723004695,0.7839335180055401,0.8762190547636909,0.29571984435797666,0.9073170731707317,0.19,0.93,0.6115972288127551
123,0.880690737833595,0.790633608815427,0.8870356330553449,0.3424124513618677,0.8915094339622641,0.22,0.945,0.5490969826003964
999,0.8676236044657097,0.7774798927613941,0.8697604790419161,0.2459016393442623,0.9,0.15,0.945,0.6540983606557378
