seed,pi_f1_normal,pi_f1_simple,pi_f1_stealthy,pi_recall_simple,pi_recall_stealthy,pi_auc_simple,pi_auc_stealthy,pi_stealthy_minus_simple_f1
0,0.9150428682774747,0.48175182481751827,0.6601307189542484,0.495,0.505,0.78755,0.98836875,0.17837889413673008
1,0.9211553473848556,0.5156626506024097,0.6578947368421053,0.535,0.5,0.789125,0.9837687499999999,0.14223208623969563
2,0.9149606299212598,0.5069767441860465,0.6333333333333333,0.545,0.475,0.81235625,0.9829187500000001,0.12635658914728676
3,0.9083850931677019,0.4631043256997455,0.7084639498432602,0.455,0.565,0.8031500000000001,0.9840125,0.2453596241435147
4,0.9246309246309247,0.5217391304347826,0.6555183946488294,0.54,0.49,0.8190999999999999,0.98948125,0.13377926421404684
42,0.9065637065637066,0.44168734491315137,0.6556291390728477,0.445,0.495,0.7845875000000001,0.9875125,0.21394179415969633
123,0.9104938271604939,0.4504950495049505,0.6333333333333333,0.455,0.475,0.7704624999999999,0.9826875,0.1828382838283828
999,0.9210526315789473,0.4811320754716981,0.5774647887323944,0.51,0.41,0.8030375000000001,0.9862687499999999,0.09633271326069626
