seed,pi_f1_normal,pi_f1_simple,pi_f1_stealthy,pi_recall_simple,pi_recall_stealthy,pi_auc_simple,pi_auc_stealthy,pi_stealthy_minus_simple_f1
0,0.8307184145334434,0.3147208121827411,0.7949367088607595,0.31,0.785,0.6100937499999999,0.960871875,0.4802158966780184
1,0.8285946385052803,0.28211586901763225,0.7419354838709677,0.28,0.69,0.55041875,0.9647468749999999,0.4598196148533355
2,0.8106312292358804,0.2606516290726817,0.8060453400503779,0.26,0.8,0.530921875,0.96705625,0.5453937109776962
3,0.8361858190709046,0.33421750663129973,0.8232323232323232,0.315,0.815,0.630725,0.9700593750000001,0.48901481660102347
4,0.8278688524590164,0.2670157068062827,0.7839195979899497,0.255,0.78,0.59265625,0.9612968749999999,0.516903891183667
42,0.8421887390959556,0.24489795918367346,0.797979797979798,0.21,0.79,0.53639375,0.964653125,0.5530818387961245
123,0.827930174563591,0.3076923076923077,0.8108108108108109,0.3,0.825,0.58465,0.956484375,0.5031185031185031
999,0.8040033361134279,0.2807017543859649,0.8208955223880597,0.28,0.825,0.5937125,0.968615625,0.5401937680020948
